frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,valido
0,0.03268,783.5,319.5,108.937,44.423,nan,nan,0
0,0.03268,687.5,335.5,95.589,46.648,nan,nan,0
0,0.03268,703.5,335.5,97.814,46.648,nan,nan,0
0,0.03268,719.5,335.5,100.039,46.648,nan,nan,0
0,0.03268,735.5,335.5,102.263,46.648,nan,nan,0
0,0.03268,751.5,335.5,104.488,46.648,40.9307,-10.3562,1
0,0.03268,767.5,335.5,106.712,46.648,nan,nan,0
0,0.03268,783.5,335.5,108.937,46.648,nan,nan,0
0,0.03268,799.5,335.5,111.162,46.648,nan,nan,0
0,0.03268,815.5,335.5,113.386,46.648,nan,nan,0
0,0.03268,831.5,335.5,115.611,46.648,nan,nan,0
0,0.03268,847.5,335.5,117.836,46.648,34.3251,10.7734,1
0,0.03268,863.5,335.5,120.060,46.648,nan,nan,0
0,0.03268,655.5,351.5,91.140,48.872,nan,nan,0
0,0.03268,671.5,351.5,93.365,48.872,nan,nan,0
0,0.03268,687.5,351.5,95.589,48.872,nan,nan,0
0,0.03268,703.5,351.5,97.814,48.872,nan,nan,0
0,0.03268,719.5,351.5,100.039,48.872,nan,nan,0
0,0.03268,735.5,351.5,102.263,48.872,nan,nan,0
0,0.03268,751.5,351.5,104.488,48.872,nan,nan,0
0,0.03268,767.5,351.5,106.712,48.872,nan,nan,0
0,0.03268,783.5,351.5,108.937,48.872,nan,nan,0
0,0.03268,799.5,351.5,111.162,48.872,nan,nan,0
0,0.03268,815.5,351.5,113.386,48.872,9.0902,1.1915,1
0,0.03268,831.5,351.5,115.611,48.872,23.8539,5.8695,1
0,0.03268,847.5,351.5,117.836,48.872,22.0924,7.1584,1
0,0.03268,863.5,351.5,120.060,48.872,nan,nan,0
0,0.03268,879.5,351.5,122.285,48.872,nan,nan,0
0,0.03268,895.5,351.5,124.509,48.872,nan,nan,0
0,0.03268,911.5,351.5,126.734,48.872,nan,nan,0
0,0.03268,623.5,367.5,86.691,51.097,30.7243,-32.5849,1
0,0.03268,639.5,367.5,88.915,51.097,nan,nan,0
0,0.03268,655.5,367.5,91.140,51.097,nan,nan,0
0,0.03268,671.5,367.5,93.365,51.097,nan,nan,0
0,0.03268,687.5,367.5,95.589,51.097,nan,nan,0
0,0.03268,703.5,367.5,97.814,51.097,nan,nan,0
0,0.03268,719.5,367.5,100.039,51.097,nan,nan,0
0,0.03268,735.5,367.5,102.263,51.097,nan,nan,0
0,0.03268,751.5,367.5,104.488,51.097,nan,nan,0
0,0.03268,767.5,367.5,106.712,51.097,nan,nan,0
0,0.03268,783.5,367.5,108.937,51.097,nan,nan,0
0,0.03268,799.5,367.5,111.162,51.097,nan,nan,0
0,0.03268,815.5,367.5,113.386,51.097,nan,nan,0
0,0.03268,831.5,367.5,115.611,51.097,23.1004,0.4679,1
0,0.03268,847.5,367.5,117.836,51.097,nan,nan,0
0,0.03268,863.5,367.5,120.060,51.097,21.7528,10.7126,1
0,0.03268,879.5,367.5,122.285,51.097,nan,nan,0
0,0.03268,895.5,367.5,124.509,51.097,nan,nan,0
0,0.03268,911.5,367.5,126.734,51.097,31.1278,14.3623,1
0,0.03268,927.5,367.5,128.959,51.097,nan,nan,0
0,0.03268,607.5,383.5,84.466,53.321,nan,nan,0
0,0.03268,623.5,383.5,86.691,53.321,nan,nan,0
0,0.03268,639.5,383.5,88.915,53.321,40.6930,-29.5029,1
0,0.03268,655.5,383.5,91.140,53.321,40.3122,-29.6648,1
0,0.03268,671.5,383.5,93.365,53.321,40.1462,-29.2343,1
0,0.03268,687.5,383.5,95.589,53.321,nan,nan,0
0,0.03268,703.5,383.5,97.814,53.321,nan,nan,0
0,0.03268,719.5,383.5,100.039,53.321,nan,nan,0
0,0.03268,735.5,383.5,102.263,53.321,nan,nan,0
0,0.03268,751.5,383.5,104.488,53.321,nan,nan,0
0,0.03268,767.5,383.5,106.712,53.321,nan,nan,0
0,0.03268,783.5,383.5,108.937,53.321,nan,nan,0
0,0.03268,799.5,383.5,111.162,53.321,nan,nan,0
0,0.03268,815.5,383.5,113.386,53.321,nan,nan,0
0,0.03268,831.5,383.5,115.611,53.321,nan,nan,0
0,0.03268,847.5,383.5,117.836,53.321,23.7920,-1.5974,1
0,0.03268,863.5,383.5,120.060,53.321,24.2838,0.8621,1
0,0.03268,879.5,383.5,122.285,53.321,24.0788,6.9823,1
0,0.03268,895.5,383.5,124.509,53.321,nan,nan,0
0,0.03268,911.5,383.5,126.734,53.321,nan,nan,0
0,0.03268,927.5,383.5,128.959,53.321,nan,nan,0
0,0.03268,943.5,383.5,131.183,53.321,nan,nan,0
0,0.03268,959.5,383.5,133.408,53.321,nan,nan,0
0,0.03268,591.5,399.5,82.242,55.546,nan,nan,0
0,0.03268,607.5,399.5,84.466,55.546,nan,nan,0
0,0.03268,623.5,399.5,86.691,55.546,49.8765,-33.1132,1
0,0.03268,639.5,399.5,88.915,55.546,43.1216,-33.5722,1
0,0.03268,655.5,399.5,91.140,55.546,41.7818,-34.0688,1
0,0.03268,671.5,399.5,93.365,55.546,nan,nan,0
0,0.03268,687.5,399.5,95.589,55.546,nan,nan,0
0,0.03268,703.5,399.5,97.814,55.546,nan,nan,0
0,0.03268,719.5,399.5,100.039,55.546,nan,nan,0
0,0.03268,735.5,399.5,102.263,55.546,nan,nan,0
0,0.03268,751.5,399.5,104.488,55.546,nan,nan,0
0,0.03268,767.5,399.5,106.712,55.546,nan,nan,0
0,0.03268,783.5,399.5,108.937,55.546,nan,nan,0
0,0.03268,799.5,399.5,111.162,55.546,nan,nan,0
0,0.03268,815.5,399.5,113.386,55.546,23.7251,-4.4322,1
0,0.03268,831.5,399.5,115.611,55.546,25.1145,-3.3958,1
0,0.03268,847.5,399.5,117.836,55.546,24.4194,-2.2552,1
0,0.03268,863.5,399.5,120.060,55.546,26.8460,-1.1916,1
0,0.03268,879.5,399.5,122.285,55.546,nan,nan,0
0,0.03268,895.5,399.5,124.509,55.546,nan,nan,0
0,0.03268,911.5,399.5,126.734,55.546,35.5027,23.0457,1
0,0.03268,927.5,399.5,128.959,55.546,nan,nan,0
0,0.03268,943.5,399.5,131.183,55.546,nan,nan,0
0,0.03268,959.5,399.5,133.408,55.546,nan,nan,0
0,0.03268,975.5,399.5,135.633,55.546,nan,nan,0
0,0.03268,575.5,415.5,80.017,57.771,34.4037,-45.8116,1
0,0.03268,591.5,415.5,82.242,57.771,nan,nan,0
0,0.03268,607.5,415.5,84.466,57.771,50.1355,-40.9017,1
0,0.03268,623.5,415.5,86.691,57.771,nan,nan,0
0,0.03268,639.5,415.5,88.915,57.771,46.1002,-37.1622,1
0,0.03268,655.5,415.5,91.140,57.771,42.6834,-34.5835,1
0,0.03268,671.5,415.5,93.365,57.771,54.3602,-35.7354,1
0,0.03268,687.5,415.5,95.589,57.771,nan,nan,0
0,0.03268,703.5,415.5,97.814,57.771,nan,nan,0
0,0.03268,719.5,415.5,100.039,57.771,nan,nan,0
0,0.03268,735.5,415.5,102.263,57.771,nan,nan,0
0,0.03268,751.5,415.5,104.488,57.771,nan,nan,0
0,0.03268,767.5,415.5,106.712,57.771,nan,nan,0
0,0.03268,783.5,415.5,108.937,57.771,nan,nan,0
0,0.03268,799.5,415.5,111.162,57.771,22.3063,-8.8174,1
0,0.03268,815.5,415.5,113.386,57.771,23.4019,-11.6598,1
0,0.03268,831.5,415.5,115.611,57.771,nan,nan,0
0,0.03268,847.5,415.5,117.836,57.771,37.5791,-3.3857,1
0,0.03268,863.5,415.5,120.060,57.771,nan,nan,0
0,0.03268,879.5,415.5,122.285,57.771,nan,nan,0
0,0.03268,895.5,415.5,124.509,57.771,nan,nan,0
0,0.03268,911.5,415.5,126.734,57.771,nan,nan,0
0,0.03268,927.5,415.5,128.959,57.771,nan,nan,0
0,0.03268,943.5,415.5,131.183,57.771,nan,nan,0
0,0.03268,959.5,415.5,133.408,57.771,nan,nan,0
0,0.03268,975.5,415.5,135.633,57.771,nan,nan,0
0,0.03268,991.5,415.5,137.857,57.771,nan,nan,0
0,0.03268,559.5,431.5,77.792,59.995,nan,nan,0
0,0.03268,575.5,431.5,80.017,59.995,nan,nan,0
0,0.03268,591.5,431.5,82.242,59.995,nan,nan,0
0,0.03268,607.5,431.5,84.466,59.995,nan,nan,0
0,0.03268,623.5,431.5,86.691,59.995,42.1709,-39.2117,1
0,0.03268,639.5,431.5,88.915,59.995,45.2219,-45.0877,1
0,0.03268,655.5,431.5,91.140,59.995,nan,nan,0
0,0.03268,671.5,431.5,93.365,59.995,nan,nan,0
0,0.03268,687.5,431.5,95.589,59.995,29.0426,-35.4554,1
0,0.03268,703.5,431.5,97.814,59.995,nan,nan,0
0,0.03268,719.5,431.5,100.039,59.995,nan,nan,0
0,0.03268,735.5,431.5,102.263,59.995,nan,nan,0
0,0.03268,751.5,431.5,104.488,59.995,nan,nan,0
0,0.03268,767.5,431.5,106.712,59.995,nan,nan,0
0,0.03268,783.5,431.5,108.937,59.995,nan,nan,0
0,0.03268,799.5,431.5,111.162,59.995,32.5464,-7.3541,1
0,0.03268,815.5,431.5,113.386,59.995,nan,nan,0
0,0.03268,831.5,431.5,115.611,59.995,nan,nan,0
0,0.03268,847.5,431.5,117.836,59.995,36.7865,-3.4982,1
0,0.03268,863.5,431.5,120.060,59.995,nan,nan,0
0,0.03268,879.5,431.5,122.285,59.995,23.5132,2.2450,1
0,0.03268,895.5,431.5,124.509,59.995,nan,nan,0
0,0.03268,911.5,431.5,126.734,59.995,nan,nan,0
0,0.03268,927.5,431.5,128.959,59.995,nan,nan,0
0,0.03268,943.5,431.5,131.183,59.995,nan,nan,0
0,0.03268,959.5,431.5,133.408,59.995,nan,nan,0
0,0.03268,975.5,431.5,135.633,59.995,nan,nan,0
0,0.03268,991.5,431.5,137.857,59.995,nan,nan,0
0,0.03268,1007.5,431.5,140.082,59.995,nan,nan,0
0,0.03268,543.5,447.5,75.568,62.220,33.0423,-50.2578,1
0,0.03268,559.5,447.5,77.792,62.220,25.2820,-46.6672,1
0,0.03268,575.5,447.5,80.017,62.220,nan,nan,0
0,0.03268,591.5,447.5,82.242,62.220,nan,nan,0
0,0.03268,607.5,447.5,84.466,62.220,nan,nan,0
0,0.03268,623.5,447.5,86.691,62.220,nan,nan,0
0,0.03268,639.5,447.5,88.915,62.220,nan,nan,0
0,0.03268,655.5,447.5,91.140,62.220,nan,nan,0
0,0.03268,671.5,447.5,93.365,62.220,nan,nan,0
0,0.03268,687.5,447.5,95.589,62.220,nan,nan,0
0,0.03268,703.5,447.5,97.814,62.220,20.0162,-36.2446,1
0,0.03268,719.5,447.5,100.039,62.220,nan,nan,0
0,0.03268,735.5,447.5,102.263,62.220,nan,nan,0
0,0.03268,751.5,447.5,104.488,62.220,nan,nan,0
0,0.03268,767.5,447.5,106.712,62.220,nan,nan,0
0,0.03268,783.5,447.5,108.937,62.220,nan,nan,0
0,0.03268,799.5,447.5,111.162,62.220,nan,nan,0
0,0.03268,815.5,447.5,113.386,62.220,nan,nan,0
0,0.03268,831.5,447.5,115.611,62.220,7.3116,-5.1264,1
0,0.03268,847.5,447.5,117.836,62.220,20.1228,-1.9689,1
0,0.03268,863.5,447.5,120.060,62.220,nan,nan,0
0,0.03268,879.5,447.5,122.285,62.220,nan,nan,0
0,0.03268,895.5,447.5,124.509,62.220,nan,nan,0
0,0.03268,911.5,447.5,126.734,62.220,nan,nan,0
0,0.03268,927.5,447.5,128.959,62.220,nan,nan,0
0,0.03268,943.5,447.5,131.183,62.220,nan,nan,0
0,0.03268,959.5,447.5,133.408,62.220,nan,nan,0
0,0.03268,975.5,447.5,135.633,62.220,nan,nan,0
0,0.03268,991.5,447.5,137.857,62.220,nan,nan,0
0,0.03268,1007.5,447.5,140.082,62.220,nan,nan,0
0,0.03268,543.5,463.5,75.568,64.445,20.4993,-45.8837,1
0,0.03268,559.5,463.5,77.792,64.445,23.0567,-47.7066,1
0,0.03268,575.5,463.5,80.017,64.445,nan,nan,0
0,0.03268,591.5,463.5,82.242,64.445,nan,nan,0
0,0.03268,607.5,463.5,84.466,64.445,nan,nan,0
0,0.03268,623.5,463.5,86.691,64.445,nan,nan,0
0,0.03268,639.5,463.5,88.915,64.445,nan,nan,0
0,0.03268,655.5,463.5,91.140,64.445,nan,nan,0
0,0.03268,671.5,463.5,93.365,64.445,nan,nan,0
0,0.03268,687.5,463.5,95.589,64.445,nan,nan,0
0,0.03268,703.5,463.5,97.814,64.445,nan,nan,0
0,0.03268,719.5,463.5,100.039,64.445,nan,nan,0
0,0.03268,735.5,463.5,102.263,64.445,nan,nan,0
0,0.03268,751.5,463.5,104.488,64.445,nan,nan,0
0,0.03268,767.5,463.5,106.712,64.445,nan,nan,0
0,0.03268,783.5,463.5,108.937,64.445,nan,nan,0
0,0.03268,799.5,463.5,111.162,64.445,nan,nan,0
0,0.03268,815.5,463.5,113.386,64.445,nan,nan,0
0,0.03268,831.5,463.5,115.611,64.445,nan,nan,0
0,0.03268,847.5,463.5,117.836,64.445,16.6365,0.8268,1
0,0.03268,863.5,463.5,120.060,64.445,16.6620,1.6563,1
0,0.03268,879.5,463.5,122.285,64.445,nan,nan,0
0,0.03268,895.5,463.5,124.509,64.445,nan,nan,0
0,0.03268,911.5,463.5,126.734,64.445,nan,nan,0
0,0.03268,927.5,463.5,128.959,64.445,nan,nan,0
0,0.03268,943.5,463.5,131.183,64.445,nan,nan,0
0,0.03268,959.5,463.5,133.408,64.445,nan,nan,0
0,0.03268,975.5,463.5,135.633,64.445,nan,nan,0
0,0.03268,991.5,463.5,137.857,64.445,33.4506,63.9633,1
0,0.03268,1007.5,463.5,140.082,64.445,nan,nan,0
0,0.03268,1023.5,463.5,142.306,64.445,7.8537,46.8826,1
0,0.03268,527.5,479.5,73.343,66.669,nan,nan,0
0,0.03268,543.5,479.5,75.568,66.669,18.6012,-40.8168,1
0,0.03268,559.5,479.5,77.792,66.669,nan,nan,0
0,0.03268,575.5,479.5,80.017,66.669,nan,nan,0
0,0.03268,591.5,479.5,82.242,66.669,nan,nan,0
0,0.03268,607.5,479.5,84.466,66.669,nan,nan,0
0,0.03268,623.5,479.5,86.691,66.669,nan,nan,0
0,0.03268,639.5,479.5,88.915,66.669,nan,nan,0
0,0.03268,655.5,479.5,91.140,66.669,nan,nan,0
0,0.03268,671.5,479.5,93.365,66.669,nan,nan,0
0,0.03268,687.5,479.5,95.589,66.669,nan,nan,0
0,0.03268,703.5,479.5,97.814,66.669,20.6130,-15.1742,1
0,0.03268,719.5,479.5,100.039,66.669,20.0088,-13.4881,1
0,0.03268,735.5,479.5,102.263,66.669,13.2460,-2.1075,1
0,0.03268,751.5,479.5,104.488,66.669,nan,nan,0
0,0.03268,767.5,479.5,106.712,66.669,nan,nan,0
0,0.03268,783.5,479.5,108.937,66.669,nan,nan,0
0,0.03268,799.5,479.5,111.162,66.669,nan,nan,0
0,0.03268,815.5,479.5,113.386,66.669,nan,nan,0
0,0.03268,831.5,479.5,115.611,66.669,nan,nan,0
0,0.03268,847.5,479.5,117.836,66.669,13.8962,0.9472,1
0,0.03268,863.5,479.5,120.060,66.669,14.6841,2.9644,1
0,0.03268,879.5,479.5,122.285,66.669,13.9234,4.0000,1
0,0.03268,895.5,479.5,124.509,66.669,nan,nan,0
0,0.03268,911.5,479.5,126.734,66.669,nan,nan,0
0,0.03268,927.5,479.5,128.959,66.669,nan,nan,0
0,0.03268,943.5,479.5,131.183,66.669,nan,nan,0
0,0.03268,959.5,479.5,133.408,66.669,nan,nan,0
0,0.03268,975.5,479.5,135.633,66.669,nan,nan,0
0,0.03268,991.5,479.5,137.857,66.669,nan,nan,0
0,0.03268,1007.5,479.5,140.082,66.669,nan,nan,0
0,0.03268,1023.5,479.5,142.306,66.669,11.7808,50.7520,1
0,0.03268,527.5,495.5,73.343,68.894,18.1836,-51.6871,1
0,0.03268,543.5,495.5,75.568,68.894,nan,nan,0
0,0.03268,559.5,495.5,77.792,68.894,nan,nan,0
0,0.03268,575.5,495.5,80.017,68.894,nan,nan,0
0,0.03268,591.5,495.5,82.242,68.894,nan,nan,0
0,0.03268,607.5,495.5,84.466,68.894,nan,nan,0
0,0.03268,623.5,495.5,86.691,68.894,nan,nan,0
0,0.03268,639.5,495.5,88.915,68.894,nan,nan,0
0,0.03268,655.5,495.5,91.140,68.894,nan,nan,0
0,0.03268,671.5,495.5,93.365,68.894,nan,nan,0
0,0.03268,687.5,495.5,95.589,68.894,nan,nan,0
0,0.03268,703.5,495.5,97.814,68.894,15.7064,-8.9310,1
0,0.03268,719.5,495.5,100.039,68.894,15.9822,-8.2762,1
0,0.03268,735.5,495.5,102.263,68.894,nan,nan,0
0,0.03268,751.5,495.5,104.488,68.894,nan,nan,0
0,0.03268,767.5,495.5,106.712,68.894,nan,nan,0
0,0.03268,783.5,495.5,108.937,68.894,nan,nan,0
0,0.03268,799.5,495.5,111.162,68.894,0.2791,-7.7109,1
0,0.03268,815.5,495.5,113.386,68.894,nan,nan,0
0,0.03268,831.5,495.5,115.611,68.894,13.6725,-8.8863,1
0,0.03268,847.5,495.5,117.836,68.894,nan,nan,0
0,0.03268,863.5,495.5,120.060,68.894,11.3917,3.0071,1
0,0.03268,879.5,495.5,122.285,68.894,12.1525,5.0243,1
0,0.03268,895.5,495.5,124.509,68.894,nan,nan,0
0,0.03268,911.5,495.5,126.734,68.894,nan,nan,0
0,0.03268,927.5,495.5,128.959,68.894,nan,nan,0
0,0.03268,943.5,495.5,131.183,68.894,nan,nan,0
0,0.03268,959.5,495.5,133.408,68.894,nan,nan,0
0,0.03268,975.5,495.5,135.633,68.894,nan,nan,0
0,0.03268,991.5,495.5,137.857,68.894,nan,nan,0
0,0.03268,1007.5,495.5,140.082,68.894,nan,nan,0
0,0.03268,1023.5,495.5,142.306,68.894,nan,nan,0
0,0.03268,1039.5,495.5,144.531,68.894,nan,nan,0
0,0.03268,511.5,511.5,71.118,71.118,15.6664,-39.5052,1
0,0.03268,527.5,511.5,73.343,71.118,nan,nan,0
0,0.03268,543.5,511.5,75.568,71.118,nan,nan,0
0,0.03268,559.5,511.5,77.792,71.118,nan,nan,0
0,0.03268,575.5,511.5,80.017,71.118,nan,nan,0
0,0.03268,591.5,511.5,82.242,71.118,nan,nan,0
0,0.03268,607.5,511.5,84.466,71.118,nan,nan,0
0,0.03268,623.5,511.5,86.691,71.118,nan,nan,0
0,0.03268,639.5,511.5,88.915,71.118,26.3250,-17.7941,1
0,0.03268,655.5,511.5,91.140,71.118,nan,nan,0
0,0.03268,671.5,511.5,93.365,71.118,nan,nan,0
0,0.03268,687.5,511.5,95.589,71.118,nan,nan,0
0,0.03268,703.5,511.5,97.814,71.118,12.7373,-9.0139,1
0,0.03268,719.5,511.5,100.039,71.118,13.6874,-9.6411,1
0,0.03268,735.5,511.5,102.263,71.118,9.0980,-10.4704,1
0,0.03268,751.5,511.5,104.488,71.118,8.3138,-9.3162,1
0,0.03268,767.5,511.5,106.712,71.118,nan,nan,0
0,0.03268,783.5,511.5,108.937,71.118,nan,nan,0
0,0.03268,799.5,511.5,111.162,71.118,nan,nan,0
0,0.03268,815.5,511.5,113.386,71.118,7.4629,-2.7721,1
0,0.03268,831.5,511.5,115.611,71.118,7.0318,-0.1504,1
0,0.03268,847.5,511.5,117.836,71.118,nan,nan,0
0,0.03268,863.5,511.5,120.060,71.118,9.8508,2.5295,1
0,0.03268,879.5,511.5,122.285,71.118,8.2431,-2.2723,1
0,0.03268,895.5,511.5,124.509,71.118,11.0285,7.6082,1
0,0.03268,911.5,511.5,126.734,71.118,nan,nan,0
0,0.03268,927.5,511.5,128.959,71.118,nan,nan,0
0,0.03268,943.5,511.5,131.183,71.118,nan,nan,0
0,0.03268,959.5,511.5,133.408,71.118,nan,nan,0
0,0.03268,975.5,511.5,135.633,71.118,nan,nan,0
0,0.03268,991.5,511.5,137.857,71.118,nan,nan,0
0,0.03268,1007.5,511.5,140.082,71.118,nan,nan,0
0,0.03268,1023.5,511.5,142.306,71.118,nan,nan,0
0,0.03268,1039.5,511.5,144.531,71.118,nan,nan,0
0,0.03268,511.5,527.5,71.118,73.343,13.5536,-37.8144,1
0,0.03268,527.5,527.5,73.343,73.343,nan,nan,0
0,0.03268,543.5,527.5,75.568,73.343,nan,nan,0
0,0.03268,559.5,527.5,77.792,73.343,nan,nan,0
0,0.03268,575.5,527.5,80.017,73.343,nan,nan,0
0,0.03268,591.5,527.5,82.242,73.343,nan,nan,0
0,0.03268,607.5,527.5,84.466,73.343,nan,nan,0
0,0.03268,623.5,527.5,86.691,73.343,nan,nan,0
0,0.03268,639.5,527.5,88.915,73.343,nan,nan,0
0,0.03268,655.5,527.5,91.140,73.343,nan,nan,0
0,0.03268,671.5,527.5,93.365,73.343,nan,nan,0
0,0.03268,687.5,527.5,95.589,73.343,nan,nan,0
0,0.03268,703.5,527.5,97.814,73.343,nan,nan,0
0,0.03268,719.5,527.5,100.039,73.343,nan,nan,0
0,0.03268,735.5,527.5,102.263,73.343,5.8390,-8.6349,1
0,0.03268,751.5,527.5,104.488,73.343,5.5647,-8.2037,1
0,0.03268,767.5,527.5,106.712,73.343,nan,nan,0
0,0.03268,783.5,527.5,108.937,73.343,-8.9764,-6.0868,1
0,0.03268,799.5,527.5,111.162,73.343,5.1385,-3.4771,1
0,0.03268,815.5,527.5,113.386,73.343,5.5117,-1.4034,1
0,0.03268,831.5,527.5,115.611,73.343,5.3117,0.8057,1
0,0.03268,847.5,527.5,117.836,73.343,6.7624,3.3931,1
0,0.03268,863.5,527.5,120.060,73.343,9.2111,-0.6040,1
0,0.03268,879.5,527.5,122.285,73.343,nan,nan,0
0,0.03268,895.5,527.5,124.509,73.343,nan,nan,0
0,0.03268,911.5,527.5,126.734,73.343,nan,nan,0
0,0.03268,927.5,527.5,128.959,73.343,nan,nan,0
0,0.03268,943.5,527.5,131.183,73.343,nan,nan,0
0,0.03268,959.5,527.5,133.408,73.343,25.3677,40.0505,1
0,0.03268,975.5,527.5,135.633,73.343,nan,nan,0
0,0.03268,991.5,527.5,137.857,73.343,nan,nan,0
0,0.03268,1007.5,527.5,140.082,73.343,nan,nan,0
0,0.03268,1023.5,527.5,142.306,73.343,nan,nan,0
0,0.03268,1039.5,527.5,144.531,73.343,nan,nan,0
0,0.03268,1055.5,527.5,146.756,73.343,nan,nan,0
0,0.03268,511.5,543.5,71.118,75.568,nan,nan,0
0,0.03268,527.5,543.5,73.343,75.568,nan,nan,0
0,0.03268,543.5,543.5,75.568,75.568,nan,nan,0
0,0.03268,559.5,543.5,77.792,75.568,nan,nan,0
0,0.03268,575.5,543.5,80.017,75.568,nan,nan,0
0,0.03268,591.5,543.5,82.242,75.568,nan,nan,0
0,0.03268,607.5,543.5,84.466,75.568,nan,nan,0
0,0.03268,623.5,543.5,86.691,75.568,nan,nan,0
0,0.03268,639.5,543.5,88.915,75.568,nan,nan,0
0,0.03268,655.5,543.5,91.140,75.568,nan,nan,0
0,0.03268,671.5,543.5,93.365,75.568,nan,nan,0
0,0.03268,687.5,543.5,95.589,75.568,nan,nan,0
0,0.03268,703.5,543.5,97.814,75.568,nan,nan,0
0,0.03268,719.5,543.5,100.039,75.568,4.4442,-7.2772,1
0,0.03268,735.5,543.5,102.263,75.568,3.2938,-7.9345,1
0,0.03268,751.5,543.5,104.488,75.568,nan,nan,0
0,0.03268,767.5,543.5,106.712,75.568,1.9981,-8.6093,1
0,0.03268,783.5,543.5,108.937,75.568,-0.4211,-4.0034,1
0,0.03268,799.5,543.5,111.162,75.568,-2.7501,-1.5918,1
0,0.03268,815.5,543.5,113.386,75.568,2.8643,0.6796,1
0,0.03268,831.5,543.5,115.611,75.568,3.4495,2.4256,1
0,0.03268,847.5,543.5,117.836,75.568,nan,nan,0
0,0.03268,863.5,543.5,120.060,75.568,9.1046,1.3043,1
0,0.03268,879.5,543.5,122.285,75.568,8.9388,1.5447,1
0,0.03268,895.5,543.5,124.509,75.568,nan,nan,0
0,0.03268,911.5,543.5,126.734,75.568,nan,nan,0
0,0.03268,927.5,543.5,128.959,75.568,nan,nan,0
0,0.03268,943.5,543.5,131.183,75.568,nan,nan,0
0,0.03268,959.5,543.5,133.408,75.568,nan,nan,0
0,0.03268,975.5,543.5,135.633,75.568,nan,nan,0
0,0.03268,991.5,543.5,137.857,75.568,nan,nan,0
0,0.03268,1007.5,543.5,140.082,75.568,nan,nan,0
0,0.03268,1023.5,543.5,142.306,75.568,nan,nan,0
0,0.03268,1039.5,543.5,144.531,75.568,nan,nan,0
0,0.03268,1055.5,543.5,146.756,75.568,nan,nan,0
0,0.03268,511.5,559.5,71.118,77.792,nan,nan,0
0,0.03268,527.5,559.5,73.343,77.792,nan,nan,0
0,0.03268,543.5,559.5,75.568,77.792,nan,nan,0
0,0.03268,559.5,559.5,77.792,77.792,nan,nan,0
0,0.03268,575.5,559.5,80.017,77.792,nan,nan,0
0,0.03268,591.5,559.5,82.242,77.792,nan,nan,0
0,0.03268,607.5,559.5,84.466,77.792,nan,nan,0
0,0.03268,623.5,559.5,86.691,77.792,nan,nan,0
0,0.03268,639.5,559.5,88.915,77.792,nan,nan,0
0,0.03268,655.5,559.5,91.140,77.792,nan,nan,0
0,0.03268,671.5,559.5,93.365,77.792,nan,nan,0
0,0.03268,687.5,559.5,95.589,77.792,nan,nan,0
0,0.03268,703.5,559.5,97.814,77.792,nan,nan,0
0,0.03268,719.5,559.5,100.039,77.792,3.6740,0.8545,1
0,0.03268,735.5,559.5,102.263,77.792,nan,nan,0
0,0.03268,751.5,559.5,104.488,77.792,-3.0942,-6.6346,1
0,0.03268,767.5,559.5,106.712,77.792,0.5120,-6.1735,1
0,0.03268,783.5,559.5,108.937,77.792,-3.1719,-2.7121,1
0,0.03268,799.5,559.5,111.162,77.792,-0.1367,-0.4692,1
0,0.03268,815.5,559.5,113.386,77.792,1.5308,4.3560,1
0,0.03268,831.5,559.5,115.611,77.792,nan,nan,0
0,0.03268,847.5,559.5,117.836,77.792,nan,nan,0
0,0.03268,863.5,559.5,120.060,77.792,3.6434,11.8834,1
0,0.03268,879.5,559.5,122.285,77.792,8.8123,10.1913,1
0,0.03268,895.5,559.5,124.509,77.792,nan,nan,0
0,0.03268,911.5,559.5,126.734,77.792,nan,nan,0
0,0.03268,927.5,559.5,128.959,77.792,nan,nan,0
0,0.03268,943.5,559.5,131.183,77.792,nan,nan,0
0,0.03268,959.5,559.5,133.408,77.792,nan,nan,0
0,0.03268,975.5,559.5,135.633,77.792,nan,nan,0
0,0.03268,991.5,559.5,137.857,77.792,nan,nan,0
0,0.03268,1007.5,559.5,140.082,77.792,nan,nan,0
0,0.03268,1023.5,559.5,142.306,77.792,nan,nan,0
0,0.03268,1039.5,559.5,144.531,77.792,nan,nan,0
0,0.03268,1055.5,559.5,146.756,77.792,nan,nan,0
0,0.03268,495.5,575.5,68.894,80.017,nan,nan,0
0,0.03268,511.5,575.5,71.118,80.017,nan,nan,0
0,0.03268,527.5,575.5,73.343,80.017,nan,nan,0
0,0.03268,543.5,575.5,75.568,80.017,nan,nan,0
0,0.03268,559.5,575.5,77.792,80.017,nan,nan,0
0,0.03268,575.5,575.5,80.017,80.017,nan,nan,0
0,0.03268,591.5,575.5,82.242,80.017,nan,nan,0
0,0.03268,607.5,575.5,84.466,80.017,nan,nan,0
0,0.03268,623.5,575.5,86.691,80.017,nan,nan,0
0,0.03268,639.5,575.5,88.915,80.017,nan,nan,0
0,0.03268,655.5,575.5,91.140,80.017,nan,nan,0
0,0.03268,671.5,575.5,93.365,80.017,nan,nan,0
0,0.03268,687.5,575.5,95.589,80.017,nan,nan,0
0,0.03268,703.5,575.5,97.814,80.017,nan,nan,0
