indice,t_s
0,0.000000
1,0.031250
2,0.062500
3,0.093750
4,0.125000
5,0.156250
6,0.187500
7,0.218750
8,0.257812
9,0.289062
10,0.335938
11,0.367188
12,0.398438
13,0.429688
14,0.460938
15,0.492188
16,0.523438
17,0.562500
18,0.593750
19,0.625000
20,0.656250
21,0.687500
22,0.734375
23,0.765625
24,0.796875
25,0.828125
26,0.859375
27,0.898438
28,0.929688
29,0.960938
30,0.992188
31,1.023438
32,1.054688
33,1.085938
34,1.132812
35,1.164062
36,1.195312
37,1.234375
38,1.265625
39,1.296875
40,1.328125
41,1.359375
42,1.390625
43,1.421875
44,1.453125
45,1.484375
46,1.531250
47,1.570312
48,1.601562
49,1.632812
50,1.664062
51,1.695312
52,1.726562
53,1.757812
54,1.789062
55,1.820312
56,1.851562
57,1.882812
58,1.937500
59,1.968750
60,2.000000
61,2.031250
62,2.062500
63,2.093750
64,2.125000
65,2.156250
66,2.187500
67,2.226562
68,2.257812
69,2.289062
70,2.335938
71,2.367188
72,2.398438
73,2.429688
74,2.460938
75,2.492188
76,2.523438
77,2.562500
78,2.593750
79,2.625000
80,2.656250
81,2.687500
82,2.734375
83,2.765625
84,2.796875
85,2.828125
86,2.859375
87,2.898438
88,2.929688
89,2.960938
90,2.992188
91,3.023438
