frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
0,0.03322,780.442,606.445,108.5118,84.3195,0,0
1,0.06645,780.442,606.445,108.5118,84.3195,0,0
2,0.11629,780.442,606.445,108.5118,84.3195,0,0
3,0.14951,780.442,606.445,108.5118,84.3195,0,0
4,0.19935,780.442,606.445,108.5118,84.3195,0,0
5,0.23257,780.442,606.445,108.5118,84.3195,0,0
6,0.26580,780.442,606.445,108.5118,84.3195,0,0
7,0.29902,780.442,606.445,108.5118,84.3195,0,0
8,0.33225,780.442,606.445,108.5118,84.3195,0,0
9,0.36547,780.442,606.445,108.5118,84.3195,0,0
10,0.39870,780.442,606.445,108.5118,84.3195,0,0
11,0.43192,780.442,606.445,108.5118,84.3195,0,0
12,0.46514,780.442,606.445,108.5118,84.3195,0,0
13,0.49837,780.442,606.445,108.5118,84.3195,0,0
14,0.53159,780.442,606.445,108.5118,84.3195,0,0
15,0.56482,780.442,606.445,108.5118,84.3195,0,0
16,0.59804,780.442,606.445,108.5118,84.3195,0,0
17,0.63127,780.442,606.445,108.5118,84.3195,0,0
18,0.66449,780.442,606.445,108.5118,84.3195,0,0
19,0.69772,780.442,606.445,108.5118,84.3195,0,0
20,0.73094,780.442,606.445,108.5118,84.3195,0,0
21,0.76417,780.442,606.445,108.5118,84.3195,0,0
22,0.79739,780.442,606.445,108.5118,84.3195,0,0
23,0.83061,780.442,606.445,108.5118,84.3195,0,0
24,0.86384,780.442,606.445,108.5118,84.3195,0,0
25,0.89706,780.442,606.445,108.5118,84.3195,0,0
26,0.93029,780.442,606.445,108.5118,84.3195,0,0
27,0.96351,780.442,606.445,108.5118,84.3195,0,0
28,0.99674,780.442,606.445,108.5118,84.3195,0,0
29,1.02996,780.442,606.445,108.5118,84.3195,0,0
30,1.06319,780.442,606.445,108.5118,84.3195,0,0
31,1.09641,780.442,606.445,108.5118,84.3195,0,0
32,1.12964,780.442,606.445,108.5118,84.3195,0,0
33,1.16286,780.442,606.445,108.5118,84.3195,0,0
34,1.19609,780.442,606.445,108.5118,84.3195,0,0
35,1.22931,780.442,606.445,108.5118,84.3195,0,0
36,1.26253,780.442,606.445,108.5118,84.3195,0,0
37,1.29576,780.442,606.445,108.5118,84.3195,0,0
38,1.32898,780.442,606.445,108.5118,84.3195,0,0
39,1.36221,780.442,606.445,108.5118,84.3195,0,0
40,1.39543,780.442,606.445,108.5118,84.3195,0,0
41,1.42866,780.442,606.445,108.5118,84.3195,0,0
42,1.46188,780.442,606.445,108.5118,84.3195,0,0
43,1.49511,780.442,606.445,108.5118,84.3195,0,0
44,1.52833,780.442,606.445,108.5118,84.3195,0,0
45,1.56156,780.442,606.445,108.5118,84.3195,0,0
46,1.59478,780.442,606.445,108.5118,84.3195,0,0
47,1.62801,780.442,606.445,108.5118,84.3195,0,0
48,1.66123,780.442,606.445,108.5118,84.3195,0,0
49,1.69445,780.442,606.445,108.5118,84.3195,0,0
50,1.72768,780.442,606.445,108.5118,84.3195,0,0
51,1.76090,780.442,606.445,108.5118,84.3195,0,0
52,1.79413,780.442,606.445,108.5118,84.3195,0,0
53,1.82735,780.442,606.445,108.5118,84.3195,0,0
54,1.86058,780.442,606.445,108.5118,84.3195,0,0
55,1.89380,780.442,606.445,108.5118,84.3195,0,0
56,1.92703,780.442,606.445,108.5118,84.3195,0,0
57,1.96025,780.442,606.445,108.5118,84.3195,0,0
58,1.99348,780.442,606.445,108.5118,84.3195,0,0
59,2.02670,780.442,606.445,108.5118,84.3195,0,0
60,2.05992,780.442,606.445,108.5118,84.3195,0,0
61,2.09315,780.442,606.445,108.5118,84.3195,0,0
62,2.12637,780.442,606.445,108.5118,84.3195,0,0
63,2.15960,780.442,606.445,108.5118,84.3195,0,0
64,2.19282,780.442,606.445,108.5118,84.3195,0,0
65,2.22605,780.442,606.445,108.5118,84.3195,0,0
66,2.25927,780.442,606.445,108.5118,84.3195,0,0
67,2.29250,780.442,606.445,108.5118,84.3195,0,0
68,2.32572,780.442,606.445,108.5118,84.3195,0,0
69,2.35895,780.442,606.445,108.5118,84.3195,0,0
70,2.39217,780.442,606.445,108.5118,84.3195,0,0
71,2.42540,780.442,606.445,108.5118,84.3195,0,0
72,2.45862,780.442,606.445,108.5118,84.3195,0,0
73,2.49184,780.442,606.445,108.5118,84.3195,0,0
74,2.52507,780.442,606.445,108.5118,84.3195,0,0
75,2.55829,780.442,606.445,108.5118,84.3195,0,0
76,2.59152,780.442,606.445,108.5118,84.3195,0,0
77,2.62474,780.442,606.445,108.5118,84.3195,0,0
78,2.65797,780.442,606.445,108.5118,84.3195,0,0
79,2.69119,780.442,606.445,108.5118,84.3195,0,0
80,2.72442,780.442,606.445,108.5118,84.3195,0,0
81,2.75764,780.442,606.445,108.5118,84.3195,0,0
82,2.79087,780.442,606.445,108.5118,84.3195,0,0
83,2.82409,780.442,606.445,108.5118,84.3195,0,0
84,2.85732,780.442,606.445,108.5118,84.3195,0,0
85,2.89054,780.442,606.445,108.5118,84.3195,0,0
86,2.92376,780.442,606.445,108.5118,84.3195,0,0
87,2.95699,780.442,606.445,108.5118,84.3195,0,0
88,2.99021,780.442,606.445,108.5118,84.3195,0,0
