frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
0,0.03269,1009.485,549.896,193.1712,105.2261,0,0
1,0.06539,1009.485,549.896,193.1712,105.2261,0,0
2,0.11443,1009.485,549.896,193.1712,105.2261,0,0
3,0.16347,1009.485,549.896,193.1712,105.2261,0,0
4,0.22886,1009.485,549.896,193.1712,105.2261,0,0
5,0.27790,1009.485,549.896,193.1712,105.2261,0,0
6,0.32694,1009.485,549.896,193.1712,105.2261,0,0
7,0.35963,1009.485,549.896,193.1712,105.2261,0,0
8,0.40867,1009.485,549.896,193.1712,105.2261,0,0
9,0.44136,1009.485,549.896,193.1712,105.2261,0,0
10,0.49040,1009.485,549.896,193.1712,105.2261,0,0
11,0.52310,1009.485,549.896,193.1712,105.2261,0,0
12,0.55579,1009.485,549.896,193.1712,105.2261,0,0
13,0.58848,1009.485,549.896,193.1712,105.2261,0,0
14,0.62118,1009.485,549.896,193.1712,105.2261,0,0
15,0.65387,1009.485,549.896,193.1712,105.2261,0,0
16,0.68657,1009.485,549.896,193.1712,105.2261,0,0
17,0.71926,1009.485,549.896,193.1712,105.2261,0,0
18,0.75195,1009.485,549.896,193.1712,105.2261,0,0
19,0.78465,1009.485,549.896,193.1712,105.2261,0,0
20,0.81734,1009.485,549.896,193.1712,105.2261,0,0
21,0.86638,1009.485,549.896,193.1712,105.2261,0,0
22,0.89907,1009.485,549.896,193.1712,105.2261,0,0
23,0.94811,1009.485,549.896,193.1712,105.2261,0,0
24,0.98081,1009.485,549.896,193.1712,105.2261,0,0
25,1.01350,1009.485,549.896,193.1712,105.2261,0,0
26,1.04620,1009.485,549.896,193.1712,105.2261,0,0
27,1.07889,1009.485,549.896,193.1712,105.2261,0,0
28,1.11158,1009.485,549.896,193.1712,105.2261,0,0
29,1.14428,1009.485,549.896,193.1712,105.2261,0,0
30,1.17697,1009.485,549.896,193.1712,105.2261,0,0
31,1.20966,1009.485,549.896,193.1712,105.2261,0,0
32,1.24236,1009.485,549.896,193.1712,105.2261,0,0
33,1.27505,1009.485,549.896,193.1712,105.2261,0,0
34,1.30774,1009.485,549.896,193.1712,105.2261,0,0
35,1.34044,1009.485,549.896,193.1712,105.2261,0,0
36,1.37313,1009.485,549.896,193.1712,105.2261,0,0
37,1.40583,1009.485,549.896,193.1712,105.2261,0,0
38,1.43852,1009.485,549.896,193.1712,105.2261,0,0
39,1.47121,1009.485,549.896,193.1712,105.2261,0,0
40,1.50391,1009.485,549.896,193.1712,105.2261,0,0
41,1.53660,1009.485,549.896,193.1712,105.2261,0,0
42,1.56929,1009.485,549.896,193.1712,105.2261,0,0
43,1.60199,1009.485,549.896,193.1712,105.2261,0,0
44,1.63468,1009.485,549.896,193.1712,105.2261,0,0
45,1.66737,1009.485,549.896,193.1712,105.2261,0,0
46,1.70007,1009.485,549.896,193.1712,105.2261,0,0
47,1.73276,1009.485,549.896,193.1712,105.2261,0,0
48,1.76545,1009.485,549.896,193.1712,105.2261,0,0
49,1.79815,1009.485,549.896,193.1712,105.2261,0,0
50,1.83084,1009.485,549.896,193.1712,105.2261,0,0
51,1.86354,1009.485,549.896,193.1712,105.2261,0,0
52,1.89623,1009.485,549.896,193.1712,105.2261,0,0
53,1.92892,1009.485,549.896,193.1712,105.2261,0,0
54,1.96162,1009.485,549.896,193.1712,105.2261,0,0
55,1.99431,1009.485,549.896,193.1712,105.2261,0,0
56,2.02700,1009.485,549.896,193.1712,105.2261,0,0
57,2.05970,1009.485,549.896,193.1712,105.2261,0,0
58,2.09239,1009.485,549.896,193.1712,105.2261,0,0
59,2.12508,1009.485,549.896,193.1712,105.2261,0,0
60,2.15778,1009.485,549.896,193.1712,105.2261,0,0
61,2.19047,1009.485,549.896,193.1712,105.2261,0,0
62,2.22317,1009.485,549.896,193.1712,105.2261,0,0
63,2.25586,1009.485,549.896,193.1712,105.2261,0,0
64,2.28855,1009.485,549.896,193.1712,105.2261,0,0
65,2.32125,1009.485,549.896,193.1712,105.2261,0,0
66,2.35394,1009.485,549.896,193.1712,105.2261,0,0
67,2.38663,1009.485,549.896,193.1712,105.2261,0,0
68,2.41933,1009.485,549.896,193.1712,105.2261,0,0
69,2.45202,1009.485,549.896,193.1712,105.2261,0,0
70,2.50106,1009.485,549.896,193.1712,105.2261,0,0
71,2.53375,1009.485,549.896,193.1712,105.2261,0,0
72,2.58280,1009.485,549.896,193.1712,105.2261,0,0
73,2.61549,1009.485,549.896,193.1712,105.2261,0,0
74,2.64818,1009.485,549.896,193.1712,105.2261,0,0
75,2.68088,1009.485,549.896,193.1712,105.2261,0,0
76,2.71357,1009.485,549.896,193.1712,105.2261,0,0
77,2.74626,1009.485,549.896,193.1712,105.2261,0,0
78,2.77896,1009.485,549.896,193.1712,105.2261,0,0
79,2.81165,1009.485,549.896,193.1712,105.2261,0,0
80,2.84434,1009.485,549.896,193.1712,105.2261,0,0
81,2.87704,1009.485,549.896,193.1712,105.2261,0,0
82,2.90973,1009.485,549.896,193.1712,105.2261,0,0
83,2.94242,1009.485,549.896,193.1712,105.2261,0,0
84,2.97512,1009.485,549.896,193.1712,105.2261,0,0
