frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,valido
0,0.03322,639.5,271.5,73.069,31.021,nan,nan,0
0,0.03322,655.5,271.5,74.897,31.021,nan,nan,0
0,0.03322,671.5,271.5,76.725,31.021,nan,nan,0
0,0.03322,687.5,271.5,78.553,31.021,nan,nan,0
0,0.03322,703.5,271.5,80.382,31.021,nan,nan,0
0,0.03322,719.5,271.5,82.210,31.021,nan,nan,0
0,0.03322,735.5,271.5,84.038,31.021,nan,nan,0
0,0.03322,751.5,271.5,85.866,31.021,nan,nan,0
0,0.03322,767.5,271.5,87.694,31.021,nan,nan,0
0,0.03322,783.5,271.5,89.522,31.021,nan,nan,0
0,0.03322,799.5,271.5,91.350,31.021,nan,nan,0
0,0.03322,591.5,287.5,67.584,32.850,1.7036,-0.8428,1
0,0.03322,607.5,287.5,69.413,32.850,2.4688,-0.7015,1
0,0.03322,623.5,287.5,71.241,32.850,nan,nan,0
0,0.03322,639.5,287.5,73.069,32.850,nan,nan,0
0,0.03322,655.5,287.5,74.897,32.850,nan,nan,0
0,0.03322,671.5,287.5,76.725,32.850,nan,nan,0
0,0.03322,687.5,287.5,78.553,32.850,nan,nan,0
0,0.03322,703.5,287.5,80.382,32.850,nan,nan,0
0,0.03322,719.5,287.5,82.210,32.850,nan,nan,0
0,0.03322,735.5,287.5,84.038,32.850,nan,nan,0
0,0.03322,751.5,287.5,85.866,32.850,nan,nan,0
0,0.03322,767.5,287.5,87.694,32.850,nan,nan,0
0,0.03322,783.5,287.5,89.522,32.850,nan,nan,0
0,0.03322,799.5,287.5,91.350,32.850,2.9814,0.1928,1
0,0.03322,815.5,287.5,93.179,32.850,nan,nan,0
0,0.03322,831.5,287.5,95.007,32.850,1.2666,0.1071,1
0,0.03322,847.5,287.5,96.835,32.850,1.2543,0.1409,1
0,0.03322,559.5,303.5,63.928,34.678,0.6441,-0.6025,1
0,0.03322,575.5,303.5,65.756,34.678,-1.9253,-0.4896,1
0,0.03322,591.5,303.5,67.584,34.678,nan,nan,0
0,0.03322,607.5,303.5,69.413,34.678,2.4018,-0.6099,1
0,0.03322,623.5,303.5,71.241,34.678,2.2088,-0.8152,1
0,0.03322,639.5,303.5,73.069,34.678,nan,nan,0
0,0.03322,655.5,303.5,74.897,34.678,nan,nan,0
0,0.03322,671.5,303.5,76.725,34.678,nan,nan,0
0,0.03322,687.5,303.5,78.553,34.678,nan,nan,0
0,0.03322,703.5,303.5,80.382,34.678,nan,nan,0
0,0.03322,719.5,303.5,82.210,34.678,nan,nan,0
0,0.03322,735.5,303.5,84.038,34.678,nan,nan,0
0,0.03322,751.5,303.5,85.866,34.678,nan,nan,0
0,0.03322,767.5,303.5,87.694,34.678,nan,nan,0
0,0.03322,783.5,303.5,89.522,34.678,nan,nan,0
0,0.03322,799.5,303.5,91.350,34.678,3.8946,0.4581,1
0,0.03322,815.5,303.5,93.179,34.678,3.9403,0.3236,1
0,0.03322,831.5,303.5,95.007,34.678,3.1893,-0.0274,1
0,0.03322,847.5,303.5,96.835,34.678,2.5918,-0.1258,1
0,0.03322,863.5,303.5,98.663,34.678,nan,nan,0
0,0.03322,879.5,303.5,100.491,34.678,2.4571,0.1189,1
0,0.03322,543.5,319.5,62.100,36.506,0.2448,-0.5609,1
0,0.03322,559.5,319.5,63.928,36.506,0.6894,-0.8853,1
0,0.03322,575.5,319.5,65.756,36.506,nan,nan,0
0,0.03322,591.5,319.5,67.584,36.506,nan,nan,0
0,0.03322,607.5,319.5,69.413,36.506,nan,nan,0
0,0.03322,623.5,319.5,71.241,36.506,1.8500,-0.7402,1
0,0.03322,639.5,319.5,73.069,36.506,0.3104,-1.0547,1
0,0.03322,655.5,319.5,74.897,36.506,2.4575,-1.3259,1
0,0.03322,671.5,319.5,76.725,36.506,3.7068,-1.2949,1
0,0.03322,687.5,319.5,78.553,36.506,nan,nan,0
0,0.03322,703.5,319.5,80.382,36.506,nan,nan,0
0,0.03322,719.5,319.5,82.210,36.506,nan,nan,0
0,0.03322,735.5,319.5,84.038,36.506,nan,nan,0
0,0.03322,751.5,319.5,85.866,36.506,nan,nan,0
0,0.03322,767.5,319.5,87.694,36.506,nan,nan,0
0,0.03322,783.5,319.5,89.522,36.506,nan,nan,0
0,0.03322,799.5,319.5,91.350,36.506,6.0137,0.5245,1
0,0.03322,815.5,319.5,93.179,36.506,6.3872,0.7979,1
0,0.03322,831.5,319.5,95.007,36.506,5.5146,1.3704,1
0,0.03322,847.5,319.5,96.835,36.506,3.9107,0.4391,1
0,0.03322,863.5,319.5,98.663,36.506,nan,nan,0
0,0.03322,879.5,319.5,100.491,36.506,3.6526,0.2928,1
0,0.03322,895.5,319.5,102.319,36.506,1.0843,0.0083,1
0,0.03322,911.5,319.5,104.147,36.506,0.6133,0.0640,1
0,0.03322,511.5,335.5,58.444,38.334,0.4558,-0.1695,1
0,0.03322,527.5,335.5,60.272,38.334,0.5629,-0.0577,1
0,0.03322,543.5,335.5,62.100,38.334,0.1355,-0.2741,1
0,0.03322,559.5,335.5,63.928,38.334,0.7221,-0.4087,1
0,0.03322,575.5,335.5,65.756,38.334,0.7684,-0.5045,1
0,0.03322,591.5,335.5,67.584,38.334,nan,nan,0
0,0.03322,607.5,335.5,69.413,38.334,1.7294,0.3112,1
0,0.03322,623.5,335.5,71.241,38.334,1.1099,-0.3571,1
0,0.03322,639.5,335.5,73.069,38.334,0.5974,-1.0556,1
0,0.03322,655.5,335.5,74.897,38.334,1.6143,-0.8691,1
0,0.03322,671.5,335.5,76.725,38.334,nan,nan,0
0,0.03322,687.5,335.5,78.553,38.334,nan,nan,0
0,0.03322,703.5,335.5,80.382,38.334,nan,nan,0
0,0.03322,719.5,335.5,82.210,38.334,nan,nan,0
0,0.03322,735.5,335.5,84.038,38.334,nan,nan,0
0,0.03322,751.5,335.5,85.866,38.334,nan,nan,0
0,0.03322,767.5,335.5,87.694,38.334,nan,nan,0
0,0.03322,783.5,335.5,89.522,38.334,nan,nan,0
0,0.03322,799.5,335.5,91.350,38.334,nan,nan,0
0,0.03322,815.5,335.5,93.179,38.334,nan,nan,0
0,0.03322,831.5,335.5,95.007,38.334,nan,nan,0
0,0.03322,847.5,335.5,96.835,38.334,9.6448,4.8356,1
0,0.03322,863.5,335.5,98.663,38.334,nan,nan,0
0,0.03322,879.5,335.5,100.491,38.334,4.9657,1.8290,1
0,0.03322,895.5,335.5,102.319,38.334,nan,nan,0
0,0.03322,911.5,335.5,104.147,38.334,1.7330,0.6680,1
0,0.03322,927.5,335.5,105.976,38.334,1.0587,0.2612,1
0,0.03322,495.5,351.5,56.616,40.162,nan,nan,0
0,0.03322,511.5,351.5,58.444,40.162,0.6015,-0.4703,1
0,0.03322,527.5,351.5,60.272,40.162,0.3284,-0.8484,1
0,0.03322,543.5,351.5,62.100,40.162,0.0405,-0.9459,1
0,0.03322,559.5,351.5,63.928,40.162,0.7243,-0.7219,1
0,0.03322,575.5,351.5,65.756,40.162,0.0062,-0.7496,1
0,0.03322,591.5,351.5,67.584,40.162,0.5443,-0.4688,1
0,0.03322,607.5,351.5,69.413,40.162,nan,nan,0
0,0.03322,623.5,351.5,71.241,40.162,nan,nan,0
0,0.03322,639.5,351.5,73.069,40.162,nan,nan,0
0,0.03322,655.5,351.5,74.897,40.162,2.8045,-0.8418,1
0,0.03322,671.5,351.5,76.725,40.162,4.4177,0.2524,1
0,0.03322,687.5,351.5,78.553,40.162,14.7473,-2.7634,1
0,0.03322,703.5,351.5,80.382,40.162,nan,nan,0
0,0.03322,719.5,351.5,82.210,40.162,nan,nan,0
0,0.03322,735.5,351.5,84.038,40.162,nan,nan,0
0,0.03322,751.5,351.5,85.866,40.162,nan,nan,0
0,0.03322,767.5,351.5,87.694,40.162,nan,nan,0
0,0.03322,783.5,351.5,89.522,40.162,nan,nan,0
0,0.03322,799.5,351.5,91.350,40.162,nan,nan,0
0,0.03322,815.5,351.5,93.179,40.162,nan,nan,0
0,0.03322,831.5,351.5,95.007,40.162,nan,nan,0
0,0.03322,847.5,351.5,96.835,40.162,12.6181,3.0005,1
0,0.03322,863.5,351.5,98.663,40.162,16.6557,6.0254,1
0,0.03322,879.5,351.5,100.491,40.162,6.8109,9.5321,1
0,0.03322,895.5,351.5,102.319,40.162,nan,nan,0
0,0.03322,911.5,351.5,104.147,40.162,2.8754,1.2396,1
0,0.03322,927.5,351.5,105.976,40.162,1.6615,0.4348,1
0,0.03322,943.5,351.5,107.804,40.162,1.1422,0.1138,1
0,0.03322,479.5,367.5,54.787,41.990,nan,nan,0
0,0.03322,495.5,367.5,56.616,41.990,1.0163,-0.8332,1
0,0.03322,511.5,367.5,58.444,41.990,0.3802,-0.7088,1
0,0.03322,527.5,367.5,60.272,41.990,0.3115,-0.6664,1
0,0.03322,543.5,367.5,62.100,41.990,0.1822,-0.6939,1
0,0.03322,559.5,367.5,63.928,41.990,nan,nan,0
0,0.03322,575.5,367.5,65.756,41.990,nan,nan,0
0,0.03322,591.5,367.5,67.584,41.990,0.7313,-0.6472,1
0,0.03322,607.5,367.5,69.413,41.990,0.9032,-0.7406,1
0,0.03322,623.5,367.5,71.241,41.990,1.6724,-1.1515,1
0,0.03322,639.5,367.5,73.069,41.990,2.0966,-0.6144,1
0,0.03322,655.5,367.5,74.897,41.990,nan,nan,0
0,0.03322,671.5,367.5,76.725,41.990,nan,nan,0
0,0.03322,687.5,367.5,78.553,41.990,nan,nan,0
0,0.03322,703.5,367.5,80.382,41.990,nan,nan,0
0,0.03322,719.5,367.5,82.210,41.990,4.6715,-0.0119,1
0,0.03322,735.5,367.5,84.038,41.990,nan,nan,0
0,0.03322,751.5,367.5,85.866,41.990,nan,nan,0
0,0.03322,767.5,367.5,87.694,41.990,nan,nan,0
0,0.03322,783.5,367.5,89.522,41.990,nan,nan,0
0,0.03322,799.5,367.5,91.350,41.990,nan,nan,0
0,0.03322,815.5,367.5,93.179,41.990,nan,nan,0
0,0.03322,831.5,367.5,95.007,41.990,nan,nan,0
0,0.03322,847.5,367.5,96.835,41.990,13.3998,4.0415,1
0,0.03322,863.5,367.5,98.663,41.990,11.7007,4.4665,1
0,0.03322,879.5,367.5,100.491,41.990,8.8817,7.3505,1
0,0.03322,895.5,367.5,102.319,41.990,7.1283,4.2824,1
0,0.03322,911.5,367.5,104.147,41.990,5.5189,2.9365,1
0,0.03322,927.5,367.5,105.976,41.990,3.5624,1.4618,1
0,0.03322,943.5,367.5,107.804,41.990,2.3771,0.6206,1
0,0.03322,959.5,367.5,109.632,41.990,1.2793,-0.0523,1
0,0.03322,463.5,383.5,52.959,43.819,11.8289,-7.6393,1
0,0.03322,479.5,383.5,54.787,43.819,6.8482,-0.7636,1
0,0.03322,495.5,383.5,56.616,43.819,0.5159,-1.0321,1
0,0.03322,511.5,383.5,58.444,43.819,0.4046,-1.0505,1
0,0.03322,527.5,383.5,60.272,43.819,0.6434,-1.2495,1
0,0.03322,543.5,383.5,62.100,43.819,nan,nan,0
0,0.03322,559.5,383.5,63.928,43.819,nan,nan,0
0,0.03322,575.5,383.5,65.756,43.819,10.6827,-1.1080,1
0,0.03322,591.5,383.5,67.584,43.819,0.0544,-1.3431,1
0,0.03322,607.5,383.5,69.413,43.819,nan,nan,0
0,0.03322,623.5,383.5,71.241,43.819,nan,nan,0
0,0.03322,639.5,383.5,73.069,43.819,nan,nan,0
0,0.03322,655.5,383.5,74.897,43.819,3.2252,-0.2415,1
0,0.03322,671.5,383.5,76.725,43.819,3.5840,0.1206,1
0,0.03322,687.5,383.5,78.553,43.819,4.0441,-0.0575,1
0,0.03322,703.5,383.5,80.382,43.819,4.6049,-0.1525,1
0,0.03322,719.5,383.5,82.210,43.819,4.3845,0.0792,1
0,0.03322,735.5,383.5,84.038,43.819,nan,nan,0
0,0.03322,751.5,383.5,85.866,43.819,nan,nan,0
0,0.03322,767.5,383.5,87.694,43.819,11.4127,1.1298,1
0,0.03322,783.5,383.5,89.522,43.819,nan,nan,0
0,0.03322,799.5,383.5,91.350,43.819,nan,nan,0
0,0.03322,815.5,383.5,93.179,43.819,nan,nan,0
0,0.03322,831.5,383.5,95.007,43.819,17.1707,4.3703,1
0,0.03322,847.5,383.5,96.835,43.819,15.1848,5.8070,1
0,0.03322,863.5,383.5,98.663,43.819,13.4871,6.8265,1
0,0.03322,879.5,383.5,100.491,43.819,11.8379,6.0828,1
0,0.03322,895.5,383.5,102.319,43.819,9.7538,5.1543,1
0,0.03322,911.5,383.5,104.147,43.819,7.7164,3.7277,1
0,0.03322,927.5,383.5,105.976,43.819,5.5234,2.8337,1
0,0.03322,943.5,383.5,107.804,43.819,3.5832,1.4063,1
0,0.03322,959.5,383.5,109.632,43.819,1.8351,0.3746,1
0,0.03322,975.5,383.5,111.460,43.819,1.1574,0.2105,1
0,0.03322,447.5,399.5,51.131,45.647,nan,nan,0
0,0.03322,463.5,399.5,52.959,45.647,nan,nan,0
0,0.03322,479.5,399.5,54.787,45.647,0.6444,-1.7885,1
0,0.03322,495.5,399.5,56.616,45.647,0.4317,-1.7685,1
0,0.03322,511.5,399.5,58.444,45.647,0.5359,-1.2637,1
0,0.03322,527.5,399.5,60.272,45.647,nan,nan,0
0,0.03322,543.5,399.5,62.100,45.647,nan,nan,0
0,0.03322,559.5,399.5,63.928,45.647,1.4823,-1.5709,1
0,0.03322,575.5,399.5,65.756,45.647,0.2529,-1.3337,1
0,0.03322,591.5,399.5,67.584,45.647,nan,nan,0
0,0.03322,607.5,399.5,69.413,45.647,nan,nan,0
0,0.03322,623.5,399.5,71.241,45.647,1.2276,-1.4295,1
0,0.03322,639.5,399.5,73.069,45.647,1.9354,-1.0580,1
0,0.03322,655.5,399.5,74.897,45.647,nan,nan,0
0,0.03322,671.5,399.5,76.725,45.647,nan,nan,0
0,0.03322,687.5,399.5,78.553,45.647,3.2635,0.3557,1
0,0.03322,703.5,399.5,80.382,45.647,nan,nan,0
0,0.03322,719.5,399.5,82.210,45.647,nan,nan,0
0,0.03322,735.5,399.5,84.038,45.647,nan,nan,0
0,0.03322,751.5,399.5,85.866,45.647,nan,nan,0
0,0.03322,767.5,399.5,87.694,45.647,nan,nan,0
0,0.03322,783.5,399.5,89.522,45.647,nan,nan,0
0,0.03322,799.5,399.5,91.350,45.647,nan,nan,0
0,0.03322,815.5,399.5,93.179,45.647,13.3674,2.1933,1
0,0.03322,831.5,399.5,95.007,45.647,14.9308,4.9340,1
0,0.03322,847.5,399.5,96.835,45.647,nan,nan,0
0,0.03322,863.5,399.5,98.663,45.647,13.4773,6.9856,1
0,0.03322,879.5,399.5,100.491,45.647,12.8117,8.2282,1
0,0.03322,895.5,399.5,102.319,45.647,11.6515,7.4700,1
0,0.03322,911.5,399.5,104.147,45.647,9.5154,5.8434,1
0,0.03322,927.5,399.5,105.976,45.647,7.2999,4.4863,1
0,0.03322,943.5,399.5,107.804,45.647,5.1350,2.9502,1
0,0.03322,959.5,399.5,109.632,45.647,3.1352,1.2371,1
0,0.03322,975.5,399.5,111.460,45.647,1.6063,-0.6428,1
0,0.03322,991.5,399.5,113.288,45.647,nan,nan,0
0,0.03322,447.5,415.5,51.131,47.475,nan,nan,0
0,0.03322,463.5,415.5,52.959,47.475,nan,nan,0
0,0.03322,479.5,415.5,54.787,47.475,9.8263,-1.3057,1
0,0.03322,495.5,415.5,56.616,47.475,0.6312,-1.6369,1
0,0.03322,511.5,415.5,58.444,47.475,0.5691,-1.0743,1
0,0.03322,527.5,415.5,60.272,47.475,1.5118,-1.3583,1
0,0.03322,543.5,415.5,62.100,47.475,0.7367,-0.6935,1
0,0.03322,559.5,415.5,63.928,47.475,nan,nan,0
0,0.03322,575.5,415.5,65.756,47.475,0.0133,-1.2882,1
0,0.03322,591.5,415.5,67.584,47.475,-0.0618,-1.8191,1
0,0.03322,607.5,415.5,69.413,47.475,0.3126,-1.8997,1
0,0.03322,623.5,415.5,71.241,47.475,-0.7589,-1.3721,1
0,0.03322,639.5,415.5,73.069,47.475,nan,nan,0
0,0.03322,655.5,415.5,74.897,47.475,nan,nan,0
0,0.03322,671.5,415.5,76.725,47.475,nan,nan,0
0,0.03322,687.5,415.5,78.553,47.475,nan,nan,0
0,0.03322,703.5,415.5,80.382,47.475,nan,nan,0
0,0.03322,719.5,415.5,82.210,47.475,nan,nan,0
0,0.03322,735.5,415.5,84.038,47.475,nan,nan,0
0,0.03322,751.5,415.5,85.866,47.475,nan,nan,0
0,0.03322,767.5,415.5,87.694,47.475,nan,nan,0
0,0.03322,783.5,415.5,89.522,47.475,nan,nan,0
0,0.03322,799.5,415.5,91.350,47.475,nan,nan,0
0,0.03322,815.5,415.5,93.179,47.475,11.1811,3.4926,1
0,0.03322,831.5,415.5,95.007,47.475,12.3080,3.9927,1
0,0.03322,847.5,415.5,96.835,47.475,13.4438,6.6358,1
0,0.03322,863.5,415.5,98.663,47.475,nan,nan,0
0,0.03322,879.5,415.5,100.491,47.475,13.4387,10.1440,1
0,0.03322,895.5,415.5,102.319,47.475,13.6062,11.0608,1
0,0.03322,911.5,415.5,104.147,47.475,11.8353,7.5523,1
0,0.03322,927.5,415.5,105.976,47.475,9.6256,6.1441,1
0,0.03322,943.5,415.5,107.804,47.475,7.0881,4.8739,1
0,0.03322,959.5,415.5,109.632,47.475,nan,nan,0
0,0.03322,975.5,415.5,111.460,47.475,2.5561,1.2162,1
0,0.03322,991.5,415.5,113.288,47.475,1.1581,0.4333,1
0,0.03322,431.5,431.5,49.303,49.303,0.6013,-1.1233,1
0,0.03322,447.5,431.5,51.131,49.303,0.0550,-1.1730,1
0,0.03322,463.5,431.5,52.959,49.303,nan,nan,0
0,0.03322,479.5,431.5,54.787,49.303,11.0122,-1.4372,1
0,0.03322,495.5,431.5,56.616,49.303,nan,nan,0
0,0.03322,511.5,431.5,58.444,49.303,0.0032,-1.1226,1
0,0.03322,527.5,431.5,60.272,49.303,1.6029,-1.3181,1
0,0.03322,543.5,431.5,62.100,49.303,1.7087,-1.5382,1
0,0.03322,559.5,431.5,63.928,49.303,1.1333,-2.3673,1
0,0.03322,575.5,431.5,65.756,49.303,-0.2711,-2.0754,1
0,0.03322,591.5,431.5,67.584,49.303,-0.7205,-2.3166,1
0,0.03322,607.5,431.5,69.413,49.303,0.3558,-3.0139,1
0,0.03322,623.5,431.5,71.241,49.303,0.2213,-1.6182,1
0,0.03322,639.5,431.5,73.069,49.303,nan,nan,0
0,0.03322,655.5,431.5,74.897,49.303,nan,nan,0
0,0.03322,671.5,431.5,76.725,49.303,nan,nan,0
0,0.03322,687.5,431.5,78.553,49.303,nan,nan,0
0,0.03322,703.5,431.5,80.382,49.303,nan,nan,0
0,0.03322,719.5,431.5,82.210,49.303,nan,nan,0
0,0.03322,735.5,431.5,84.038,49.303,nan,nan,0
0,0.03322,751.5,431.5,85.866,49.303,nan,nan,0
0,0.03322,767.5,431.5,87.694,49.303,nan,nan,0
0,0.03322,783.5,431.5,89.522,49.303,nan,nan,0
0,0.03322,799.5,431.5,91.350,49.303,nan,nan,0
0,0.03322,815.5,431.5,93.179,49.303,17.3547,-0.0167,1
0,0.03322,831.5,431.5,95.007,49.303,9.5815,4.5018,1
0,0.03322,847.5,431.5,96.835,49.303,10.1840,6.7143,1
0,0.03322,863.5,431.5,98.663,49.303,14.9880,8.6270,1
0,0.03322,879.5,431.5,100.491,49.303,12.4536,9.1764,1
0,0.03322,895.5,431.5,102.319,49.303,13.7430,10.8147,1
0,0.03322,911.5,431.5,104.147,49.303,12.5757,7.8271,1
0,0.03322,927.5,431.5,105.976,49.303,10.3713,6.9739,1
0,0.03322,943.5,431.5,107.804,49.303,9.4392,5.3794,1
0,0.03322,959.5,431.5,109.632,49.303,nan,nan,0
0,0.03322,975.5,431.5,111.460,49.303,3.6478,3.2082,1
0,0.03322,991.5,431.5,113.288,49.303,0.0982,-0.5996,1
0,0.03322,1007.5,431.5,115.116,49.303,1.2840,0.5005,1
0,0.03322,431.5,447.5,49.303,51.131,-0.3826,-0.6038,1
0,0.03322,447.5,447.5,51.131,51.131,-0.3771,-1.3091,1
0,0.03322,463.5,447.5,52.959,51.131,-0.3377,-1.4196,1
0,0.03322,479.5,447.5,54.787,51.131,nan,nan,0
0,0.03322,495.5,447.5,56.616,51.131,-0.1489,-1.4372,1
0,0.03322,511.5,447.5,58.444,51.131,-0.2523,-1.3584,1
0,0.03322,527.5,447.5,60.272,51.131,1.6993,-1.3516,1
0,0.03322,543.5,447.5,62.100,51.131,nan,nan,0
0,0.03322,559.5,447.5,63.928,51.131,-0.2611,-1.9297,1
0,0.03322,575.5,447.5,65.756,51.131,-0.7247,-2.6798,1
0,0.03322,591.5,447.5,67.584,51.131,nan,nan,0
0,0.03322,607.5,447.5,69.413,51.131,nan,nan,0
0,0.03322,623.5,447.5,71.241,51.131,-0.0043,-1.7887,1
0,0.03322,639.5,447.5,73.069,51.131,0.3771,-1.2155,1
0,0.03322,655.5,447.5,74.897,51.131,-4.5269,-1.5894,1
0,0.03322,671.5,447.5,76.725,51.131,nan,nan,0
0,0.03322,687.5,447.5,78.553,51.131,nan,nan,0
0,0.03322,703.5,447.5,80.382,51.131,nan,nan,0
0,0.03322,719.5,447.5,82.210,51.131,nan,nan,0
0,0.03322,735.5,447.5,84.038,51.131,nan,nan,0
0,0.03322,751.5,447.5,85.866,51.131,nan,nan,0
0,0.03322,767.5,447.5,87.694,51.131,nan,nan,0
0,0.03322,783.5,447.5,89.522,51.131,3.9431,0.4315,1
0,0.03322,799.5,447.5,91.350,51.131,3.9793,0.3353,1
0,0.03322,815.5,447.5,93.179,51.131,nan,nan,0
0,0.03322,831.5,447.5,95.007,51.131,7.5927,3.1688,1
0,0.03322,847.5,447.5,96.835,51.131,8.0012,6.0605,1
0,0.03322,863.5,447.5,98.663,51.131,10.3115,8.5321,1
0,0.03322,879.5,447.5,100.491,51.131,11.9535,9.2126,1
0,0.03322,895.5,447.5,102.319,51.131,13.6430,10.2250,1
0,0.03322,911.5,447.5,104.147,51.131,12.3073,9.4608,1
0,0.03322,927.5,447.5,105.976,51.131,10.7369,8.3787,1
0,0.03322,943.5,447.5,107.804,51.131,9.4379,6.3389,1
0,0.03322,959.5,447.5,109.632,51.131,nan,nan,0
0,0.03322,975.5,447.5,111.460,51.131,nan,nan,0
0,0.03322,991.5,447.5,113.288,51.131,2.0321,1.4049,1
0,0.03322,1007.5,447.5,115.116,51.131,1.7774,0.5532,1
0,0.03322,1023.5,447.5,116.945,51.131,0.7754,-1.5511,1
0,0.03322,415.5,463.5,47.475,52.959,-0.3818,-7.4022,1
0,0.03322,431.5,463.5,49.303,52.959,-0.5478,-1.3482,1
0,0.03322,447.5,463.5,51.131,52.959,-0.8126,-1.3234,1
0,0.03322,463.5,463.5,52.959,52.959,nan,nan,0
0,0.03322,479.5,463.5,54.787,52.959,-0.9965,-1.3348,1
0,0.03322,495.5,463.5,56.616,52.959,-0.8809,-1.4767,1
0,0.03322,511.5,463.5,58.444,52.959,-0.8797,-1.6058,1
0,0.03322,527.5,463.5,60.272,52.959,-0.8757,-1.4527,1
0,0.03322,543.5,463.5,62.100,52.959,-0.8442,-1.4665,1
0,0.03322,559.5,463.5,63.928,52.959,-0.9756,-2.3944,1
0,0.03322,575.5,463.5,65.756,52.959,-1.5661,-2.7676,1
0,0.03322,591.5,463.5,67.584,52.959,-0.6395,-2.5482,1
0,0.03322,607.5,463.5,69.413,52.959,nan,nan,0
0,0.03322,623.5,463.5,71.241,52.959,0.9530,-6.8206,1
0,0.03322,639.5,463.5,73.069,52.959,0.7352,-6.7332,1
0,0.03322,655.5,463.5,74.897,52.959,1.1086,-2.1770,1
0,0.03322,671.5,463.5,76.725,52.959,1.9448,-1.4471,1
0,0.03322,687.5,463.5,78.553,52.959,nan,nan,0
0,0.03322,703.5,463.5,80.382,52.959,nan,nan,0
0,0.03322,719.5,463.5,82.210,52.959,nan,nan,0
0,0.03322,735.5,463.5,84.038,52.959,nan,nan,0
0,0.03322,751.5,463.5,85.866,52.959,nan,nan,0
0,0.03322,767.5,463.5,87.694,52.959,4.2666,-0.2688,1
0,0.03322,783.5,463.5,89.522,52.959,3.6006,0.2643,1
0,0.03322,799.5,463.5,91.350,52.959,3.8036,0.5373,1
0,0.03322,815.5,463.5,93.179,52.959,4.0137,0.3356,1
0,0.03322,831.5,463.5,95.007,52.959,nan,nan,0
0,0.03322,847.5,463.5,96.835,52.959,6.6127,6.5365,1
0,0.03322,863.5,463.5,98.663,52.959,nan,nan,0
0,0.03322,879.5,463.5,100.491,52.959,11.7640,10.5052,1
0,0.03322,895.5,463.5,102.319,52.959,12.3561,6.6647,1
0,0.03322,911.5,463.5,104.147,52.959,10.8451,-0.0592,1
0,0.03322,927.5,463.5,105.976,52.959,13.6567,14.7586,1
0,0.03322,943.5,463.5,107.804,52.959,nan,nan,0
0,0.03322,959.5,463.5,109.632,52.959,nan,nan,0
0,0.03322,975.5,463.5,111.460,52.959,nan,nan,0
0,0.03322,991.5,463.5,113.288,52.959,0.5325,-0.0628,1
0,0.03322,1007.5,463.5,115.116,52.959,-0.0126,-1.7212,1
0,0.03322,1023.5,463.5,116.945,52.959,0.8574,-1.1374,1
0,0.03322,415.5,479.5,47.475,54.787,nan,nan,0
0,0.03322,431.5,479.5,49.303,54.787,nan,nan,0
0,0.03322,447.5,479.5,51.131,54.787,-1.4774,-1.0892,1
0,0.03322,463.5,479.5,52.959,54.787,-1.4742,-1.7026,1
0,0.03322,479.5,479.5,54.787,54.787,-1.2760,-1.6575,1
0,0.03322,495.5,479.5,56.616,54.787,-1.4702,-1.5485,1
0,0.03322,511.5,479.5,58.444,54.787,-1.5954,-1.5303,1
0,0.03322,527.5,479.5,60.272,54.787,-1.4488,-1.3109,1
0,0.03322,543.5,479.5,62.100,54.787,-1.4609,-1.7231,1
0,0.03322,559.5,479.5,63.928,54.787,-1.5807,-2.1344,1
0,0.03322,575.5,479.5,65.756,54.787,-1.4420,-2.3906,1
0,0.03322,591.5,479.5,67.584,54.787,nan,nan,0
0,0.03322,607.5,479.5,69.413,54.787,-0.1518,-6.9580,1
0,0.03322,623.5,479.5,71.241,54.787,nan,nan,0
0,0.03322,639.5,479.5,73.069,54.787,0.8548,-4.9292,1
0,0.03322,655.5,479.5,74.897,54.787,2.1298,-4.2257,1
0,0.03322,671.5,479.5,76.725,54.787,nan,nan,0
0,0.03322,687.5,479.5,78.553,54.787,nan,nan,0
0,0.03322,703.5,479.5,80.382,54.787,nan,nan,0
0,0.03322,719.5,479.5,82.210,54.787,nan,nan,0
0,0.03322,735.5,479.5,84.038,54.787,nan,nan,0
0,0.03322,751.5,479.5,85.866,54.787,nan,nan,0
0,0.03322,767.5,479.5,87.694,54.787,nan,nan,0
0,0.03322,783.5,479.5,89.522,54.787,3.3904,0.3214,1
0,0.03322,799.5,479.5,91.350,54.787,3.2568,0.8115,1
0,0.03322,815.5,479.5,93.179,54.787,3.0817,1.8419,1
0,0.03322,831.5,479.5,95.007,54.787,3.0573,2.8224,1
0,0.03322,847.5,479.5,96.835,54.787,6.0470,6.0141,1
0,0.03322,863.5,479.5,98.663,54.787,nan,nan,0
0,0.03322,879.5,479.5,100.491,54.787,nan,nan,0
0,0.03322,895.5,479.5,102.319,54.787,nan,nan,0
0,0.03322,911.5,479.5,104.147,54.787,12.4697,13.0707,1
0,0.03322,927.5,479.5,105.976,54.787,13.8439,5.3217,1
0,0.03322,943.5,479.5,107.804,54.787,nan,nan,0
0,0.03322,959.5,479.5,109.632,54.787,nan,nan,0
0,0.03322,975.5,479.5,111.460,54.787,nan,nan,0
0,0.03322,991.5,479.5,113.288,54.787,2.7188,4.1352,1
0,0.03322,1007.5,479.5,115.116,54.787,-0.1208,-0.3599,1
